Station_Name,Direct_Effect,Indirect_Effect,Total_Effect
0,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
0,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
21,0.0,0.375,0.375
